Geneid	5: Tophat2 on data 28, data 24, and others: accepted_hits	6: Tophat2 on data 47, data 67, and others: accepted_hits
ENSG00000165626	21	28
ENSG00000202508	0	0
ENSG00000227175	0	0
ENSG00000165630	181	108
ENSG00000239665	41	58
ENSG00000227474	4	1
ENSG00000151474	50	57
ENSG00000222235	0	0
ENSG00000225112	0	0
ENSG00000199407	0	0
ENSG00000234091	0	0
ENSG00000215227	0	0
ENSG00000229751	0	0
ENSG00000235410	0	0
ENSG00000221371	0	0
ENSG00000065809	7000	5133
ENSG00000236495	0	0
ENSG00000201766	0	0
ENSG00000237032	11	47
ENSG00000185267	15	10
ENSG00000187522	508	287
ENSG00000235177	0	0
ENSG00000152455	58	39
ENSG00000152457	243	289
ENSG00000197889	0	0
ENSG00000235623	0	0
ENSG00000228547	4	3
ENSG00000182531	0	0
ENSG00000237470	0	0
ENSG00000152463	4	14
ENSG00000176244	25	21
ENSG00000228312	0	1
ENSG00000176236	8	11
ENSG00000152464	183	159
ENSG00000241107	0	1
ENSG00000152465	160	226
ENSG00000206448	25	12
ENSG00000228181	0	0
ENSG00000148468	164	253
ENSG00000232739	1	0
ENSG00000077943	3	8
ENSG00000148481	82	70
ENSG00000239130	0	0
ENSG00000252537	0	0
ENSG00000237913	0	0
ENSG00000201260	0	0
ENSG00000226140	0	0
ENSG00000238552	0	0
ENSG00000165983	55	43
ENSG00000223156	1	0
ENSG00000165985	10	10
ENSG00000148484	671	533
ENSG00000225213	1	0
ENSG00000107611	72	53
ENSG00000107614	153	67
ENSG00000229124	87	101
ENSG00000026025	40726	38343
ENSG00000234961	1	0
ENSG00000148488	10	16
ENSG00000204832	4	10
ENSG00000251803	0	0
ENSG00000236582	59	70
ENSG00000165996	8	7
ENSG00000260589	1	2
ENSG00000136738	238	229
ENSG00000251959	1	0
ENSG00000229190	0	0
ENSG00000148483	0	0
ENSG00000183748	2	0
ENSG00000207937	0	0
ENSG00000184040	2	0
ENSG00000120586	0	0
ENSG00000207938	0	0
ENSG00000235637	0	0
ENSG00000148482	0	0
ENSG00000226083	0	0
ENSG00000165995	20	5
ENSG00000235020	0	0
ENSG00000240291	11	9
ENSG00000225527	3	0
ENSG00000241058	72	46
ENSG00000152487	4	7
ENSG00000165997	247	101
ENSG00000225509	3	0
ENSG00000234244	0	0
ENSG00000234813	0	0
ENSG00000226255	0	0
ENSG00000204740	0	0
ENSG00000227734	0	0
ENSG00000239539	2	1
ENSG00000236960	0	0
ENSG00000200545	0	0
ENSG00000252001	0	0
ENSG00000233968	2	1
ENSG00000244370	0	0
ENSG00000239654	0	0
ENSG00000243309	0	0
ENSG00000243163	0	0
ENSG00000230818	0	0
ENSG00000212072	0	0
ENSG00000252832	0	0
ENSG00000120594	2	0
ENSG00000238246	0	0
ENSG00000228339	0	0
ENSG00000078114	5	8
ENSG00000235940	0	0
ENSG00000230112	0	0
ENSG00000228753	165	182
ENSG00000228219	3	5
ENSG00000204683	0	0
ENSG00000231920	0	0
ENSG00000228860	0	0
ENSG00000232853	0	0
ENSG00000207264	0	0
ENSG00000230109	2	0
ENSG00000231553	3	0
ENSG00000199222	0	0
ENSG00000251749	0	0
ENSG00000204682	0	4
ENSG00000222071	0	0
ENSG00000180592	8	15
ENSG00000078403	676	778
ENSG00000207347	0	0
ENSG00000223984	105	79
ENSG00000201390	0	0
ENSG00000136770	783	851
ENSG00000252634	0	0
ENSG00000203471	1	1
ENSG00000201364	0	0
ENSG00000232497	1	1
ENSG00000236777	0	1
ENSG00000223601	0	0
ENSG00000260205	0	0
ENSG00000227462	75	54
ENSG00000261671	2	2
ENSG00000233318	0	0
ENSG00000148444	213	151
ENSG00000168283	1995	712
ENSG00000077327	3	3
ENSG00000233451	0	0
ENSG00000150867	3408	2897
ENSG00000206842	0	0
ENSG00000165309	0	0
ENSG00000223131	0	0
ENSG00000221221	0	0
ENSG00000148450	101	75
ENSG00000229932	736	573
ENSG00000252049	0	0
ENSG00000168267	0	0
ENSG00000204566	0	0
ENSG00000227537	0	0
ENSG00000179133	9	3
ENSG00000224215	0	0
ENSG00000238515	0	0
ENSG00000165312	355	344
ENSG00000120549	4	0
ENSG00000242213	0	0
ENSG00000223928	6	8
ENSG00000238115	0	0
ENSG00000228508	6	10
ENSG00000207930	0	0
ENSG00000235229	0	0
ENSG00000107863	268	255
ENSG00000199535	0	0
ENSG00000099256	2	0
ENSG00000228667	0	0
ENSG00000221086	0	0
ENSG00000151023	0	2
ENSG00000185875	95	67
ENSG00000231422	0	0
ENSG00000233642	0	0
ENSG00000151025	0	0
ENSG00000222543	0	0
ENSG00000227465	1	1
ENSG00000228690	0	0
ENSG00000223019	0	0
ENSG00000251711	0	0
ENSG00000226304	0	0
ENSG00000095777	0	0
ENSG00000136750	0	0
ENSG00000077420	2424	1401
ENSG00000199733	2	0
ENSG00000236894	0	4
ENSG00000233261	5	0
ENSG00000231976	1	1
ENSG00000234296	0	0
ENSG00000227932	0	0
ENSG00000148459	29	19
ENSG00000234788	1	0
ENSG00000235843	0	0
ENSG00000136754	993	709
ENSG00000223027	0	0
ENSG00000206605	1	0
ENSG00000238414	0	0
ENSG00000232224	2	3
ENSG00000236983	0	0
ENSG00000107890	150	158
ENSG00000199855	0	0
ENSG00000136758	2477	1369
ENSG00000120539	118	72
ENSG00000252639	4	3
ENSG00000107897	186	193
ENSG00000251839	0	0
ENSG00000262412	0	0
ENSG00000230445	9	14
ENSG00000238021	0	0
ENSG00000200369	0	0
ENSG00000215409	0	0
ENSG00000207135	0	0
ENSG00000260151	0	0
ENSG00000213770	2	3
ENSG00000237956	0	0
ENSG00000182077	0	0
ENSG00000099246	634	309
ENSG00000150051	0	0
ENSG00000230500	0	2
ENSG00000169126	3	5
ENSG00000251810	0	0
ENSG00000226016	1	0
ENSG00000233472	0	0
ENSG00000226395	0	0
ENSG00000150054	331	295
ENSG00000222374	0	0
ENSG00000237746	0	0
ENSG00000222666	0	0
ENSG00000237128	0	0
ENSG00000224439	25	28
ENSG00000222705	0	0
ENSG00000254635	391	307
ENSG00000095787	3534	2710
ENSG00000252401	0	0
ENSG00000231911	3	2
ENSG00000207483	0	0
ENSG00000095739	12	0
ENSG00000236716	0	0
ENSG00000201001	0	0
ENSG00000235824	0	0
ENSG00000232624	0	0
ENSG00000204365	0	1
ENSG00000199402	0	0
ENSG00000229605	1	2
ENSG00000120563	0	0
ENSG00000224597	102	69
ENSG00000197321	602	492
ENSG00000207612	0	0
ENSG00000212411	0	0
ENSG00000216035	1	0
ENSG00000225976	60	46
ENSG00000222092	0	0
ENSG00000237936	0	0
ENSG00000165757	1	1
ENSG00000227955	0	0
ENSG00000200887	0	0
ENSG00000230125	0	0
ENSG00000259994	14	17
ENSG00000107951	471	130
ENSG00000250833	0	0
ENSG00000241621	0	0
ENSG00000220997	0	0
ENSG00000239625	0	0
ENSG00000214434	8	0
ENSG00000235679	0	0
ENSG00000224473	3	6
ENSG00000107968	287	76
ENSG00000252926	1	0
ENSG00000213778	11	2
ENSG00000228800	0	0
ENSG00000239744	0	0
ENSG00000230298	0	0
ENSG00000151033	0	0
ENSG00000236181	0	0
ENSG00000230998	0	0
ENSG00000234814	13	16
ENSG00000230720	0	0
ENSG00000183621	62	64
ENSG00000237135	0	0
ENSG00000252479	0	0
ENSG00000237036	12	3
ENSG00000148516	613	533
ENSG00000259552	0	0
ENSG00000230397	16	18
ENSG00000196960	7	2
ENSG00000223834	0	0
ENSG00000231855	0	0
ENSG00000237797	0	0
ENSG00000222412	0	0
ENSG00000165322	203	135
ENSG00000231148	0	1
ENSG00000230240	0	0
ENSG00000239731	1	1
ENSG00000170759	1639	1211
ENSG00000206660	0	0
ENSG00000234335	979	1506
ENSG00000235113	0	0
ENSG00000234811	0	0
ENSG00000252482	0	0
ENSG00000217094	1044	629
ENSG00000233190	3	1
ENSG00000227253	0	0
ENSG00000120616	1209	959
ENSG00000226842	3	1
ENSG00000233825	1	1
ENSG00000222309	0	0
ENSG00000229327	2	1
ENSG00000200484	0	0
ENSG00000244221	0	0
ENSG00000216937	8	5
ENSG00000231245	21	19
ENSG00000150076	3	3
ENSG00000150093	3788	3160
ENSG00000228816	1	2
ENSG00000244336	0	0
ENSG00000229656	2	2
ENSG00000234163	0	0
ENSG00000229878	2	0
ENSG00000235962	55	72
ENSG00000233387	12	13
ENSG00000099250	1	1
ENSG00000238258	0	0
ENSG00000244356	2	1
ENSG00000228832	0	0
ENSG00000226412	0	0
ENSG00000203565	3	2
ENSG00000261683	0	0
ENSG00000226407	1	0
ENSG00000223470	0	0
ENSG00000148498	0	0
ENSG00000199200	0	0
ENSG00000241716	0	0
ENSG00000234167	0	0
ENSG00000229235	0	0
ENSG00000215184	0	0
ENSG00000226386	0	0
ENSG00000232525	13	3
ENSG00000223047	0	0
ENSG00000222909	0	0
ENSG00000213724	4	3
ENSG00000108094	419	309
ENSG00000230534	0	0
ENSG00000095794	3406	626
ENSG00000253054	0	0
ENSG00000233343	2	0
ENSG00000233200	0	0
ENSG00000253070	0	0
ENSG00000108100	1691	1217
ENSG00000200097	0	0
ENSG00000177291	3	0
ENSG00000177283	46	18
ENSG00000226646	26	29
ENSG00000227313	1	3
ENSG00000227475	0	0
ENSG00000236626	0	0
ENSG00000243010	0	0
ENSG00000240464	0	0
ENSG00000243392	0	0
ENSG00000228694	0	0
ENSG00000237002	0	0
ENSG00000212148	0	0
ENSG00000229644	626	163
ENSG00000207271	0	0
ENSG00000238176	0	0
ENSG00000233533	2	15
ENSG00000225355	70	61
ENSG00000148513	0	0
ENSG00000206796	0	0
ENSG00000234918	0	0
ENSG00000240800	0	0
ENSG00000244402	0	0
ENSG00000252621	0	0
ENSG00000235687	0	0
ENSG00000237970	18	7
ENSG00000236313	0	0
ENSG00000224920	0	1
ENSG00000225276	0	0
ENSG00000243090	0	0
ENSG00000256892	0	0
ENSG00000226578	6	10
ENSG00000260137	0	0
ENSG00000225192	0	0
ENSG00000198105	88	107
ENSG00000228828	10	1
ENSG00000236514	0	0
ENSG00000151963	2	0
ENSG00000235197	0	0
ENSG00000175395	98	101
ENSG00000226447	0	0
ENSG00000206840	0	0
ENSG00000189180	447	322
ENSG00000252132	0	0
ENSG00000226086	298	243
ENSG00000235964	0	0
ENSG00000075407	382	222
ENSG00000225965	0	0
ENSG00000241125	0	0
ENSG00000224761	0	0
ENSG00000236309	0	0
ENSG00000226113	0	0
ENSG00000234941	0	0
ENSG00000099251	95	97
ENSG00000120555	14	9
ENSG00000225119	144	178
ENSG00000222314	0	0
ENSG00000228882	29	25
ENSG00000203496	4	4
ENSG00000215151	2	1
ENSG00000225638	0	0
ENSG00000233867	0	0
ENSG00000227264	0	0
ENSG00000234541	0	3
ENSG00000227679	0	0
ENSG00000233832	0	0
ENSG00000229485	0	0
ENSG00000237592	5	9
ENSG00000228755	0	0
ENSG00000215146	0	0
ENSG00000182632	0	0
ENSG00000185904	2	0
ENSG00000234420	151	116
ENSG00000233837	512	728
ENSG00000196693	243	265
ENSG00000251783	0	0
ENSG00000232109	0	0
ENSG00000233515	0	2
ENSG00000231009	0	0
ENSG00000234864	0	1
ENSG00000230425	0	0
ENSG00000259869	0	0
ENSG00000165733	1450	1083
ENSG00000238732	0	0
ENSG00000252416	1	1
ENSG00000234944	0	0
ENSG00000229630	0	0
ENSG00000165731	2	2
ENSG00000169826	433	390
ENSG00000198915	38	22
ENSG00000224265	0	0
ENSG00000221468	0	0
ENSG00000150201	0	0
ENSG00000241953	0	0
ENSG00000169813	6299	3656
ENSG00000221400	0	0
ENSG00000230555	3	2
ENSG00000243660	16	17
ENSG00000252532	0	0
ENSG00000180812	2	4
ENSG00000236114	0	0
ENSG00000196793	58	18
ENSG00000232004	618	439
ENSG00000198298	69	28
ENSG00000223910	0	0
ENSG00000237389	0	0
ENSG00000238263	0	0
ENSG00000169740	288	268
ENSG00000226245	1	0
ENSG00000230565	1	5
ENSG00000228426	0	0
ENSG00000224162	0	0
ENSG00000223746	0	0
ENSG00000234973	0	0
ENSG00000226790	285	156
ENSG00000204187	0	0
ENSG00000226808	0	0
ENSG00000236769	0	0
ENSG00000227029	0	0
ENSG00000223992	0	0
ENSG00000233395	0	0
ENSG00000238957	0	0
ENSG00000237590	0	0
ENSG00000229116	0	0
ENSG00000107562	0	0
ENSG00000214089	216	317
ENSG00000234580	0	0
ENSG00000227395	1	3
ENSG00000224812	0	0
ENSG00000234504	0	0
ENSG00000187783	0	0
ENSG00000223462	0	0
ENSG00000107551	4	5
ENSG00000165507	0	0
ENSG00000165511	0	4
ENSG00000165512	240	95
ENSG00000226937	2	0
ENSG00000224068	0	0
ENSG00000228462	746	617
ENSG00000232554	1	1
ENSG00000242848	0	0
ENSG00000235690	0	0
ENSG00000243349	0	0
ENSG00000236442	0	0
ENSG00000230501	0	0
ENSG00000227683	0	0
ENSG00000207071	0	0
ENSG00000234993	0	0
ENSG00000224402	0	0
ENSG00000256574	0	0
ENSG00000012779	42	79
ENSG00000231964	0	0
ENSG00000165406	503	836
ENSG00000242639	2	0
ENSG00000172671	141	147
ENSG00000230869	0	2
ENSG00000237840	2	4
ENSG00000228702	1	0
ENSG00000172661	119	158
ENSG00000231122	0	0
ENSG00000188234	15	4
ENSG00000239883	6	2
ENSG00000239152	0	0
ENSG00000234596	0	0
ENSG00000204179	0	0
ENSG00000150175	0	0
ENSG00000243289	0	0
ENSG00000204177	68	48
ENSG00000238405	0	0
ENSG00000227194	0	0
ENSG00000215097	0	0
ENSG00000241338	0	0
ENSG00000228745	0	0
ENSG00000230761	0	0
ENSG00000165874	17	6
ENSG00000240318	0	0
ENSG00000229927	61	34
ENSG00000229227	8	5
ENSG00000231187	3	10
ENSG00000204176	33	37
ENSG00000204175	0	4
ENSG00000250469	0	0
ENSG00000204174	0	0
ENSG00000223477	0	0
ENSG00000213412	383	356
ENSG00000179251	0	0
ENSG00000150165	0	0
ENSG00000189090	0	0
ENSG00000224919	0	0
ENSG00000204172	46	27
ENSG00000254929	0	0
ENSG00000252877	0	0
ENSG00000251079	8	2
ENSG00000232567	0	0
ENSG00000215065	0	0
ENSG00000232438	0	0
ENSG00000227310	0	0
ENSG00000189014	0	0
ENSG00000226964	0	0
ENSG00000229577	0	0
ENSG00000226667	1	0
ENSG00000215044	7	17
ENSG00000243536	11	13
ENSG00000259942	0	0
ENSG00000198250	0	1
ENSG00000204150	0	4
ENSG00000239492	0	0
ENSG00000244599	0	0
ENSG00000186807	0	0
ENSG00000215033	0	0
ENSG00000152726	0	2
ENSG00000237393	0	0
ENSG00000072444	0	0
ENSG00000226322	0	0
ENSG00000224036	0	0
ENSG00000231209	0	0
ENSG00000215024	0	0
ENSG00000251070	0	0
ENSG00000198035	2	0
ENSG00000252754	0	0
ENSG00000197910	0	0
ENSG00000165390	0	0
ENSG00000215020	0	0
ENSG00000226044	0	0
ENSG00000165388	2	0
ENSG00000228865	0	0
ENSG00000107618	0	0
ENSG00000128802	0	0
ENSG00000107623	38	63
ENSG00000183675	0	0
ENSG00000197704	0	0
ENSG00000204164	6	4
ENSG00000251479	0	0
ENSG00000222406	0	0
ENSG00000251500	0	0
ENSG00000227781	0	0
ENSG00000242886	0	0
ENSG00000213686	0	0
ENSG00000228418	0	0
ENSG00000232426	0	0
ENSG00000230210	0	0
ENSG00000243205	0	0
ENSG00000188279	0	0
ENSG00000179296	8	13
ENSG00000252149	0	0
ENSG00000243899	0	0
ENSG00000126542	0	0
ENSG00000249871	0	0
ENSG00000170324	0	1
ENSG00000232462	0	0
ENSG00000248306	0	0
ENSG00000225482	0	0
ENSG00000107643	450	397
ENSG00000128805	7	4
ENSG00000248682	0	0
ENSG00000231906	0	0
ENSG00000251413	0	0
ENSG00000236800	0	0
ENSG00000128815	36	43
ENSG00000228754	1	9
ENSG00000237241	0	0
ENSG00000228403	0	0
ENSG00000241577	0	0
ENSG00000165383	0	0
ENSG00000233665	0	1
ENSG00000226576	0	0
ENSG00000165633	5	5
ENSG00000234736	2	0
ENSG00000172538	0	0
ENSG00000204161	235	133
ENSG00000236208	0	0
ENSG00000177354	4	4
ENSG00000165606	0	0
ENSG00000235939	0	0
ENSG00000225830	147	144
ENSG00000243251	0	0
ENSG00000258838	0	0
ENSG00000070748	0	0
ENSG00000187714	0	0
ENSG00000178645	1	0
ENSG00000239647	13	9
ENSG00000197444	0	0
ENSG00000226389	2	2
ENSG00000229870	0	1
ENSG00000227345	98	95
ENSG00000230166	0	2
ENSG00000174196	0	0
ENSG00000214986	0	0
ENSG00000174194	14	19
ENSG00000244393	0	0
ENSG00000222100	0	0
ENSG00000225784	0	0
ENSG00000236787	0	0
ENSG00000204152	26	26
ENSG00000223182	0	0
ENSG00000204169	4	2
ENSG00000228326	69	86
ENSG00000230553	0	0
ENSG00000138294	3	1
ENSG00000138293	2377	1609
ENSG00000138297	434	192
ENSG00000223111	0	0
ENSG00000214982	17	12
ENSG00000229464	0	0
ENSG00000178440	4	1
ENSG00000222108	0	0
ENSG00000204149	104	95
ENSG00000235618	10	12
ENSG00000226631	0	0
ENSG00000239769	0	1
ENSG00000099290	74	70
ENSG00000188611	1	0
ENSG00000233011	0	0
ENSG00000225137	444	320
ENSG00000198964	211	182
ENSG00000225303	0	0
ENSG00000251950	0	0
ENSG00000226561	2	1
ENSG00000238523	0	0
ENSG00000230036	0	0
ENSG00000226200	9	18
ENSG00000231588	0	0
ENSG00000231345	12	8
ENSG00000240660	0	0
ENSG00000232706	0	0
ENSG00000226168	0	0
ENSG00000230011	0	0
ENSG00000213667	12	8
ENSG00000204147	15	20
ENSG00000148584	0	0
ENSG00000229711	0	0
ENSG00000236944	0	0
ENSG00000261368	1	0
ENSG00000185532	0	2
ENSG00000223502	1	8
ENSG00000231132	0	0
ENSG00000207813	0	0
ENSG00000235279	0	0
ENSG00000213659	0	0
ENSG00000216022	0	0
ENSG00000177613	944	533
ENSG00000236671	2	1
ENSG00000107984	0	0
ENSG00000213657	1	1
ENSG00000227972	25	11
ENSG00000231131	0	0
ENSG00000228651	0	0
ENSG00000165471	0	0
ENSG00000201196	0	0
ENSG00000227121	0	0
ENSG00000231399	0	0
ENSG00000226296	0	0
ENSG00000252161	0	0
ENSG00000233805	5	1
ENSG00000150275	0	0
ENSG00000252252	0	0
ENSG00000234173	0	2
ENSG00000224697	0	0
ENSG00000221594	0	0
ENSG00000236958	0	0
ENSG00000236744	0	3
ENSG00000223800	0	0
ENSG00000228048	0	0
ENSG00000238355	0	0
ENSG00000242373	0	0
ENSG00000241586	0	0
ENSG00000249860	3	6
ENSG00000236993	15	15
ENSG00000122952	59	60
ENSG00000238707	0	0
ENSG00000235810	0	0
ENSG00000223841	0	0
ENSG00000232115	0	0
ENSG00000151151	118	65
ENSG00000180221	78	91
ENSG00000238970	0	0
ENSG00000122873	131	69
ENSG00000228527	0	0
ENSG00000261076	0	0
ENSG00000072401	199	114
ENSG00000108064	699	276
ENSG00000122870	0	2
ENSG00000183055	43	25
ENSG00000252076	0	0
ENSG00000237949	0	0
ENSG00000226888	0	0
ENSG00000226557	22	9
ENSG00000165443	0	0
ENSG00000148541	0	0
ENSG00000236556	0	0
ENSG00000235469	0	0
ENSG00000235140	0	0
ENSG00000165449	0	0
ENSG00000244348	0	0
ENSG00000227877	0	1
ENSG00000108091	353	282
ENSG00000235931	16	11
ENSG00000151150	102	110
ENSG00000232682	0	0
ENSG00000202190	0	0
ENSG00000122872	0	0
ENSG00000254271	0	2
ENSG00000170312	11	2
ENSG00000072422	4	2
ENSG00000223107	0	0
ENSG00000227244	0	0
ENSG00000196932	0	0
ENSG00000237233	0	0
ENSG00000183346	0	0
ENSG00000233643	0	0
ENSG00000150347	2741	729
ENSG00000221272	1	0
ENSG00000221094	0	0
ENSG00000182010	250	138
ENSG00000234756	0	0
ENSG00000240940	0	0
ENSG00000138311	74	51
ENSG00000234489	0	0
ENSG00000238280	0	0
ENSG00000181915	679	278
ENSG00000122877	3861	207
ENSG00000199446	0	0
ENSG00000224301	0	0
ENSG00000148572	284	208
ENSG00000171988	1088	779
ENSG00000234369	78	45
ENSG00000230677	0	2
ENSG00000226095	5	0
ENSG00000221063	0	0
ENSG00000235816	17	15
ENSG00000224412	0	0
ENSG00000165476	288	148
ENSG00000232075	2	4
ENSG00000228566	0	0
ENSG00000213609	1594	1919
ENSG00000226426	0	0
ENSG00000235489	104	50
ENSG00000233900	0	0
ENSG00000216740	78	155
ENSG00000224714	2	0
ENSG00000227173	84	81
ENSG00000233724	2	0
ENSG00000235356	0	0
ENSG00000228065	2	3
ENSG00000253012	0	0
ENSG00000183230	0	0
ENSG00000252203	0	0
ENSG00000239000	0	0
ENSG00000198739	0	0
ENSG00000242597	0	0
ENSG00000225299	0	0
ENSG00000226448	1	0
ENSG00000213606	0	0
ENSG00000225922	1	0
ENSG00000108176	2	2
ENSG00000212520	0	0
ENSG00000237141	0	2
ENSG00000219932	1329	2381
ENSG00000096717	630	541
ENSG00000148634	606	456
ENSG00000226318	3	2
ENSG00000221159	0	0
ENSG00000236375	0	2
ENSG00000138347	3	1
ENSG00000222371	0	0
ENSG00000179774	0	0
ENSG00000233590	0	0
ENSG00000234102	0	0
ENSG00000108187	36	27
ENSG00000096746	3032	1296
ENSG00000204130	70	49
ENSG00000138346	20	16
ENSG00000234806	3	0
ENSG00000199638	0	0
ENSG00000234635	21	29
ENSG00000122912	81	65
ENSG00000226493	30	35
ENSG00000207438	0	0
